Pre_test,Post_test,Nine_month_post_test,Pre_test_num,Post_test_num,Nine_month_post_test_num,Discordant_test_num,Discordant_code
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Passed,Failed,0,1,0,1,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Passed,Failed,0,1,0,1,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Passed,Passed,0,1,1,2,Discordant
Failed,Failed,Failed,0,0,0,0,Cordant
Failed,Failed,Passed,0,0,1,1,Discordant
Failed,Failed,Passed,0,0,1,1,Discordant
Passed,Failed,Passed,1,0,1,2,Discordant
Passed,Failed,Passed,1,0,1,2,Discordant
Passed,Passed,Failed,1,1,0,2,Discordant
Passed,Passed,Failed,1,1,0,2,Discordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
Passed,Passed,Passed,1,1,1,3,Cordant
